steps	avg_reward	std_reward
79	-1695.1544040929161	105.72979748182283
80	-1656.4155933354361	150.78766963396944
81	-1719.9532873375654	104.49830552678004
82	-1708.2183638373938	92.73425638012031
83	-1651.3075291621694	159.9006243611581
84	-1675.2903622492854	99.73009312479955
85	-1583.6811988590553	173.5642940877525
86	-1635.0526999541962	120.57614156266742
87	-1627.7977566414652	118.08646793639238
88	-1590.9847956178676	202.45621314602263
89	-1623.8073161026418	154.15324238621153
90	-1540.6968820144175	200.62215274031266
91	-1507.0713552151012	241.41955446700632
92	-1574.763627724118	217.53131657346458
93	-1507.5708662408415	195.82680774668808
94	-1586.683729180223	177.38625666137
95	-1502.6296018654723	221.91453970216892
96	-1580.3164633802353	195.73667845967915
97	-1592.257710266629	153.72447782328499
98	-1521.39284533726	234.7670253768645
99	-1612.844911760759	152.525118259547
100	-1598.8773807017726	193.83466502805754
101	-1566.9932181173112	201.98676906689727
102	-1558.6804222603082	204.01040982474552
103	-1538.9606851339072	173.30955869632186
104	-1562.885294664444	184.3532647792249
105	-1556.8385456339547	219.01003320230944
106	-1602.9658110220646	182.83079563265562
107	-1567.9746642158061	195.78936212156097
108	-1583.7335557642552	164.2541405822132
109	-1561.488491511104	170.6816436628792
110	-1539.0655495616716	186.75834108558638
111	-1549.8807949190148	137.92886006899093
112	-1607.0844045248896	149.23631841667637
113	-1579.7303779695153	102.74171934610209
114	-1595.848427638317	107.99143864072713
115	-1574.9967377143732	99.85665333397974
116	-1604.3024181687879	102.65652370405876
117	-1632.8783585829858	96.8140634643542
118	-1579.0729501592505	106.53139709245227
119	-1612.724441149773	96.28644055416672
120	-1616.5485342298446	138.004088741842
121	-1647.4029681663055	128.43955501266407
122	-1645.0047310372424	123.16456849330856
123	-1626.2225179169682	157.81598255833066
124	-1635.8385824590223	160.09842518360088
125	-1634.6346550283017	149.85896749290663
126	-1629.7755560814712	179.46694373657107
127	-1573.5156087020846	179.81477580128586
128	-1651.819759121272	156.29801287064726
129	-1636.4668011451172	146.0698889799066
130	-1586.1393049094027	173.95880559392472
131	-1639.0700939850838	142.73749063660182
132	-1621.844448764898	179.30905622408244
133	-1617.4867260946914	200.43547983181446
134	-1696.0061159175439	159.91331260073403
135	-1608.310986785717	219.00366013910985
136	-1629.0718522164366	182.13849286052425
137	-1581.6623037338454	196.81075492728178
138	-1588.824614955976	217.9893615846585
139	-1612.9625197206824	177.25368385109678
140	-1540.0113622479082	235.5891314460702
141	-1571.3352103219772	203.85383666577545
142	-1698.2582814209618	166.9731898088681
143	-1632.170281091388	208.0693342656293
144	-1689.4516103644012	151.47983883485074
145	-1648.5720897320032	175.83698094743932
146	-1625.5238525682569	216.95228643625018
147	-1624.5951611223056	204.2435050465891
148	-1631.888786114955	211.5354002966877
149	-1711.4549609046494	133.1304852076957
150	-1610.0899887761761	193.51738834624388
151	-1667.7207469561188	193.70217706793338
152	-1692.9043978851103	156.07899780863318
153	-1634.8476888733492	168.3159032962111
154	-1644.7301417078793	171.8259034768833
155	-1627.6460550394022	177.90709252184254
156	-1615.7568931821218	179.6239361762414
157	-1644.2044814575527	182.23027405260237
158	-1697.4390643562595	132.39828412244427
159	-1623.925055992217	161.09428141456428
160	-1590.5418706470055	195.96994119171757
161	-1560.5249030340442	191.4272002406306
162	-1578.3115895157812	168.08965926530269
163	-1651.8982551225697	168.8845392513049
164	-1504.5288549757438	121.92775767741973
165	-1599.9290922670145	126.33198030491954
166	-1650.3832859507706	97.22307485554586
167	-1602.5688333120486	100.04767058646318
168	-1589.0358089144765	98.27568982051488
169	-1585.1901523943518	84.66715942469013
170	-1592.511174009035	108.3841375046546
171	-1593.116817992877	86.76447218009896
172	-1560.3151808408556	72.42119781080602
173	-1570.7437248165224	74.19349040944066
174	-1533.6924104187708	100.15316911179157
175	-1571.8292140392268	85.17370773377583
176	-1577.487910999913	85.60834661041767
177	-1580.4317213078784	80.61694470337137
178	-1561.7769263034452	93.61747403337222
179	-1543.6676929450305	82.91809899616224
180	-1552.9512983311545	90.58071161626441
