steps	avg_reward	std_reward
0	-1381,2235913982474	219,0453680525277
1	-1281,1620995770788	262,365582790904
2	-1144,2362733120008	190,87603724624483
3	-1228,774334987598	168,3081469425629
4	-1226,8937657838258	142,5609532915392
5	-1349,2844358325165	110,92726348384593
6	-1350,8889758158239	132,6490489711416
7	-1380,9877923234308	174,77819979661513
8	-1468,1368430740915	131,70259984638454
9	-1430,884364021383	187,03199622714357
10	-1488,1976438350644	90,87111432764023
11	-1499,881517368699	108,7218132776039
12	-1498,1007571896407	83,33642665202386
13	-1511,1726845406288	94,36975865458754
14	-1532,860495129388	79,08487613419383
15	-1522,4862050886115	67,40560660349257
16	-1536,641819574805	83,9919662156046
17	-1515,9647280914155	79,70263926042998
18	-1563,9055558017726	63,38304879786449
19	-1534,465387980543	55,9427632116849
20	-1540,466531476536	79,6673349999451
21	-1543,7327722407033	63,60282211031771
22	-1567,5958738313511	58,58612689350498
23	-1547,7006822984206	111,82959139911172
24	-1577,5805621980219	53,662752496171734
25	-1530,1294726246854	71,73460478753553
26	-1521,988663044457	74,02401480067093
27	-1557,7158654363632	97,2554456704941
28	-1557,4683258308314	73,95578618010077
29	-1578,8944639277754	65,55100091022453
30	-1568,8010948831832	77,06019817444673
31	-1537,7853309231534	48,70188582301389
32	-1558,0743758878502	55,09484276564057
33	-1586,6370126349177	78,10687401493338
34	-1562,5633481866569	74,3271350676061
35	-1564,7590388026665	87,30008586087885
36	-1549,0576941017955	67,44242332843413
37	-1574,5350001162703	52,50976086440967
38	-1562,2728687368713	72,24493885707864
39	-1584,5254990683343	58,69457328841513
40	-1550,0810590975555	74,11399031223955
41	-1538,8357678936466	59,007523177763325
42	-1555,6824330643462	64,78204018124693
43	-1558,5570469231063	65,81565675510623
44	-1581,3663140422027	62,79366129820253
45	-1565,4448776970949	76,37991997265269
46	-1561,011948757699	69,65693602630549
47	-1570,1397189735214	40,73818208974799
48	-1560,0041507268336	65,67339456840588
49	-1576,3652335539996	60,508544777724524
50	-1557,9795701091307	77,1220890807718
51	-1568,8641138630471	66,6063853661939
52	-1562,9697529454838	58,62975612296709
53	-1582,3148228090809	78,67904060748424
54	-1568,8634515364147	89,83574863046512
55	-1540,680023504651	85,46113139725763
56	-1584,9359071910762	66,6892109925565
57	-1568,6896968141973	83,1493283803725
58	-1571,2572675469592	59,88573454744479
59	-1544,412464918017	115,08697336721849
60	-1563,093514351282	62,06720208930099
61	-1583,075455964383	71,67442840787466
62	-1574,7683323306055	61,72198066396591
63	-1559,9609977780829	88,25970980647779
64	-1576,843302933527	77,06992403141436
65	-1586,3009859440747	66,28820906247437
66	-1570,4330591371697	72,79897742467163
67	-1587,5740238646817	74,9284193752603
68	-1568,8475434884576	52,30202028425005
69	-1563,173708127583	73,27628565397815
70	-1555,9346659642633	85,38612550835008
71	-1552,4861531254342	93,60787757628374
72	-1576,1022509926793	54,366286456925415
73	-1572,1598277902026	47,66639181576024
74	-1560,1936328677466	85,65523998369476
75	-1577,234015854752	65,9190653095587
76	-1563,1117107627172	87,44611915106874
77	-1582,8157092522583	87,59841361047506
