steps	avg_reward	std_reward	success_rate
1	-200,0	0,0	0,0
601	-200,0	0,0	0,0
1201	-200,0	0,0	0,0
1801	-200,0	0,0	0,0
2401	-189,63333333333333	17,197835781154428	0,26666666666666666
3001	-200,0	0,0	0,0
3601	-200,0	0,0	0,0
4201	-200,0	0,0	0,0
4801	-195,96666666666667	12,15862748102031	0,1
5401	-198,4	8,616263691415206	0,03333333333333333
6001	-167,26666666666668	19,382007693276314	0,8666666666666667
6601	-182,83333333333334	27,15398476999074	0,5333333333333333
7201	-186,96666666666667	12,939560356604941	0,6333333333333333
7801	-151,76666666666668	2,5907956735764057	1,0
8401	-178,16666666666666	18,736921364573803	0,7666666666666667
9001	-147,1	9,76507381777868	1,0
9601	-152,6	11,505361069229131	1,0
10201	-193,33333333333334	14,485241531373312	0,3333333333333333
10801	-140,36666666666667	3,516469188768125	1,0
11401	-153,93333333333334	7,438339121664788	1,0
12000	-173,33333333333334	25,226088788307145	0,5333333333333333
