steps	avg_reward	std_reward	success_rate
1	-200.0	0.0	0.0
601	-200.0	0.0	0.0
1201	-200.0	0.0	0.0
1801	-181.03333333333333	9.631487712474929	0.8333333333333334
2401	-200.0	0.0	0.0
3001	-160.26666666666668	24.485279024117506	0.7666666666666667
3601	-197.4	9.728309205612245	0.06666666666666667
4201	-181.9	19.063665264930915	0.5666666666666667
4801	-192.43333333333334	13.877279592517004	0.23333333333333334
5401	-188.6	16.5158509721217	0.43333333333333335
6001	-145.53333333333333	25.00897616634653	0.9333333333333333
6601	-179.7	15.958592252033595	0.7333333333333333
7201	-166.73333333333332	25.365243061235493	0.6333333333333333
7801	-186.76666666666668	11.253690752617807	0.8666666666666667
8401	-149.4	8.2	1.0
9001	-143.3	3.034798181098704	1.0
9601	-149.8	19.79629594983196	0.8666666666666667
10201	-144.1	3.5529330606322054	1.0
10801	-140.56666666666666	2.2462314118441924	1.0
11401	-148.23333333333332	2.5519056060564274	1.0
12000	-143.0	11.183320914051723	0.9666666666666667
