steps	avg_reward	std_reward	success_rate
0	9,466666666666667	0,7180219742846006	0,0
1000	8,833333333333334	0,6368324391514266	0,0
2000	25,6	4,862098312457287	0,0
3000	169,8	26,29752840097335	0,0
4000	36,93333333333333	2,8158282775923835	0,0
5000	156,76666666666668	37,10407285221155	0,0
6000	11,4	2,1385353243127256	0,0
7000	9,366666666666667	0,7951240294584374	0,0
8000	8,7	0,4582575694955841	0,0
9000	8,766666666666667	0,4229525846816507	0,0
10000	8,8	0,4760952285695234	0,0
11000	8,833333333333334	0,521749194749951	0,0
12000	8,8	0,4	0,0
13000	8,7	0,4582575694955841	0,0
14000	11,466666666666667	5,596030339048883	0,0
15000	8,933333333333334	0,6289320754704404	0,0
16000	8,8	0,4000000000000001	0,0
17000	8,733333333333333	0,5120763831912406	0,0
18000	8,9	0,4725815626252608	0,0
19000	8,866666666666667	0,7180219742846005	0,0
20000	8,733333333333333	0,4422166387140533	0,0
20000	174,6	49,40958071737369	0,0
