steps	avg_reward	std_reward	success_rate
0	9,266666666666667	0,8137703743822469	0,0
1000	15,666666666666666	5,442630083169553	0,0
2000	8,7	0,4582575694955841	0,0
3000	82,1	18,633929626714096	0,0
4000	109,33333333333333	10,09730437074943	0,0
5000	119,46666666666667	10,6198974675946	0,0
6000	107,3	3,588407260424417	0,0
7000	90,73333333333333	3,1510139461590594	0,0
8000	86,0	4,711687595755898	0,0
9000	500,0	0,0	1,0
10000	68,26666666666667	2,3371397523944144	0,0
11000	87,83333333333333	2,6468010041473753	0,0
12000	75,33333333333333	2,4404006956964173	0,0
13000	9,366666666666667	0,7951240294584374	0,0
14000	9,533333333333333	0,618241233033047	0,0
15000	9,1	0,6506407098647712	0,0
16000	9,333333333333334	0,699205898780101	0,0
17000	9,333333333333334	0,7888106377466154	0,0
18000	9,3	0,7371114795831993	0,0
19000	9,133333333333333	0,8844332774281065	0,0
20000	8,666666666666666	0,699205898780101	0,0
20000	500,0	0,0	1,0
