steps	avg_reward	std_reward	success_rate
0	9,433333333333334	0,7156970184527964	0,0
1000	9,4	0,6110100926607787	0,0
2000	67,1	11,076551810017412	0,0
3000	82,43333333333334	23,854675758759655	0,0
4000	61,5	20,31050631241542	0,0
5000	44,833333333333336	20,928582263391746	0,0
6000	9,466666666666667	0,8055363982396381	0,0
7000	9,233333333333333	0,6674994798166929	0,0
8000	9,1	0,7	0,0
9000	9,1	0,789514618821801	0,0
10000	8,933333333333334	0,44221663871405326	0,0
11000	8,766666666666667	0,49553562491061687	0,0
12000	9,633333333333333	0,6574360974438672	0,0
13000	9,2	0,7483314773547882	0,0
14000	8,8	0,7023769168568492	0,0
15000	8,7	0,4582575694955841	0,0
16000	9,066666666666666	0,44221663871405326	0,0
17000	9,1	0,8306623862918076	0,0
18000	8,966666666666667	0,5467073155618909	0,0
19000	8,733333333333333	0,5120763831912406	0,0
20000	8,966666666666667	0,6046119049072352	0,0
20000	90,03333333333333	17,850272329077285	0,0
