steps	avg_reward	std_reward	success_rate
0	9,366666666666667	0,6574360974438672	0,0
1000	9,166666666666666	0,6368324391514266	0,0
2000	9,366666666666667	0,9122621455602672	0,0
3000	321,23333333333335	47,399496012322984	0,0
4000	46,333333333333336	7,862710869809612	0,0
5000	9,633333333333333	0,752034278178565	0,0
6000	9,533333333333333	0,618241233033047	0,0
7000	9,433333333333334	0,7608474807008886	0,0
8000	8,8	0,6	0,0
9000	8,866666666666667	0,4988876515698589	0,0
10000	8,766666666666667	0,5587684871413403	0,0
11000	8,933333333333334	0,7272474743090478	0,0
12000	9,133333333333333	0,7180219742846005	0,0
13000	9,066666666666666	0,7717224601860151	0,0
14000	8,933333333333334	0,8137703743822469	0,0
15000	8,933333333333334	0,35901098714230023	0,0
16000	8,633333333333333	0,48189440982669873	0,0
17000	9,3	0,7810249675906653	0,0
18000	8,9	0,4725815626252608	0,0
19000	8,9	0,7	0,0
20000	9,033333333333333	0,7951240294584375	0,0
20000	347,43333333333334	70,83487057155457	0,1
