steps	avg_reward	std_reward
0	19,53846153846154	9,052117343603477
1	24,285714285714285	10,664327974910684
2	28,444444444444443	15,279696849167824
3	27,736842105263158	19,498561634571267
4	27,263157894736842	10,74509486751566
5	44,666666666666664	13,912424503139471
6	28,88888888888889	12,174147877498855
7	39,142857142857146	22,538402601709258
8	37,357142857142854	21,68148368294655
9	43,07692307692308	15,107112631836896
10	55,55555555555556	15,854274650432863
11	48,27272727272727	14,78384197260896
12	55,6	24,183465425782135
13	57,44444444444444	18,643504147921877
14	60,77777777777778	22,709654225939424
15	58,22222222222222	23,40834503513545
16	63,0	24,680176480550358
17	71,57142857142857	23,335179713147657
18	64,625	27,874439456247366
19	66,625	19,32574384079433
20	84,83333333333333	27,960786032505517
21	73,0	19,993749023132207
22	72,57142857142857	37,043824019115306
23	140,25	36,51284020724764
24	88,16666666666667	44,25462938746885
25	196,66666666666666	13,274871834493252
26	92,66666666666667	47,48567035315905
27	133,0	44,96665431183423
28	105,4	44,43692158554641
29	180,66666666666666	43,744205965539656
30	132,25	23,678840765544244
31	142,25	83,30478677723147
32	73,875	22,915265108656282
33	49,09090909090909	13,493800229294163
34	50,2	26,980733866965146
35	71,85714285714286	9,21843760280096
36	51,0	12,8296531519757
37	57,77777777777778	15,382369256737315
38	64,875	17,495981681517616
39	71,71428571428571	17,539459885105487
40	97,33333333333333	34,518915909332314
41	95,16666666666667	9,51168871558685
42	134,0	35,78407467016578
43	177,0	36,88721549082645
44	177,33333333333334	38,38691906829142
45	155,75	48,31860407751863
46	330,0	44,0
47	256,0	122,76807402578245
48	152,25	6,53356717268599
49	167,0	24,91318258807306
50	218,0	64,71990935304736
51	304,5	66,5
52	370,5	129,5
53	358,5	45,5
54	500,0	0,0
55	500,0	0,0
56	252,0	65,79260343432738
57	266,5	70,5
58	210,0	92,96594358509284
59	127,0	40,8656334834051
60	130,5	34,767082132384935
61	97,83333333333333	48,98781027516494
62	109,83333333333333	71,8433867674835
63	120,6	33,44607600302313
64	118,2	46,153656409866386
65	97,0	44,037862497325335
66	148,75	136,07419850948966
67	124,6	48,553475673735235
68	101,0	39,9791612384919
69	133,4	49,045285196438606
70	176,33333333333334	122,69836546950773
71	306,5	74,5
72	450,5	48,5
73	405,0	61,0
74	311,5	16,5
75	334,0	166,0
76	469,0	31,0
77	500,0	0,0
78	500,0	0,0
79	500,0	0,0
80	500,0	0,0
81	500,0	0,0
82	500,0	0,0
83	500,0	0,0
84	500,0	0,0
85	392,0	53,0
86	246,66666666666666	13,523641850067197
87	169,33333333333334	7,760297817881877
88	181,66666666666666	24,850665092821068
89	146,75	16,422164899914993
90	147,75	10,059199769365355
91	142,25	11,233320969330485
92	140,5	11,434596626029272
93	124,2	4,445222154178574
94	114,8	10,533755265810953
95	103,8	32,62759568218289
96	131,5	10,35615758860399
97	145,5	17,066048165876012
98	134,25	5,973901572674261
99	136,5	7,433034373659253
