steps	avg_reward	std_reward	success_rate
0	9.733333333333333	0.7717224601860151	0.0
1000	10.4	1.0832051206181281	0.0
2000	32.7	3.121431295629191	0.0
3000	112.8	19.828262657126572	0.0
4000	198.7	22.982819670353763	0.0
5000	127.76666666666667	3.3134406421254763	0.0
6000	137.33333333333334	4.444722213542208	0.0
7000	115.26666666666667	5.221323799787006	0.0
8000	96.26666666666667	3.193048003954146	0.0
9000	105.56666666666666	3.4993650217654575	0.0
10000	109.53333333333333	5.251877970994968	0.0
11000	92.56666666666666	2.1241991955139756	0.0
12000	78.83333333333333	2.6843165900384314	0.0
13000	131.76666666666668	4.616516243036759	0.0
14000	500.0	0.0	1.0
15000	500.0	0.0	1.0
16000	264.3333333333333	96.88182950837007	0.13333333333333333
17000	500.0	0.0	1.0
18000	217.63333333333333	107.3534608457294	0.06666666666666667
19000	105.9	3.134219732777734	0.0
20000	99.1	4.962190376570949	0.0
20000	500.0	0.0	1.0
