steps	avg_reward	std_reward
0	-1164.2412641666072	265.1631487882478
1	-1248.7631588997472	213.57289506195815
2	-1251.7856166668278	117.07736231542877
3	-1318.3196523511172	150.691875743337
4	-1305.665829388431	129.54295181447148
5	-1359.9312456678122	168.95910457525432
6	-1401.6094165791644	168.21954896548118
7	-1457.8408385902135	163.33704589585656
8	-1412.9487734311551	171.9781863898688
9	-1520.9546675974818	130.37593540598132
10	-1542.7048800775574	109.84716741121028
11	-1461.3084389654964	185.17938534829895
12	-1495.909325498472	122.4394419420294
13	-1521.4567757721663	145.4905450447558
14	-1531.0359604368027	165.09273562419
15	-1526.3517077517542	168.597638622171
16	-1512.166607389017	193.03820849660903
17	-1464.488056737761	226.59748394376467
18	-1535.0997677620273	215.21045774264795
19	-1554.0395990461327	161.68196675871158
20	-1591.947295832664	157.1666763580485
21	-1574.533524372027	201.42544030486195
22	-1552.6318216567688	172.87811473626525
23	-1555.729255247957	167.67443655565918
24	-1618.6676198450002	143.93990566045713
25	-1511.636727985325	218.20812037609386
26	-1602.3208464448585	173.27928368929452
27	-1509.216468882903	248.5921492602061
28	-1425.450548680691	253.6659176398899
29	-1535.1768808088448	157.6614166496479
30	-1516.2492069652437	167.17319174969006
31	-1590.7493864152098	76.98679649401615
32	-1536.8589294432643	156.67919111363798
33	-1577.0783335151875	136.38011533563136
34	-1570.877884834504	143.35577437872936
35	-1604.6242271255624	111.49847620112475
36	-1590.1440703845137	112.94259341499904
37	-1552.8617389048986	129.55918454470736
38	-1536.2989809021385	121.99282273262752
39	-1556.0779199194014	164.26910132255534
40	-1479.3845336311126	258.289239893403
41	-1417.9422702098248	208.18451383725565
42	-1538.782057810401	137.3359382483778
43	-1489.0911987394875	196.46839443379272
44	-1501.459217244207	163.25347149104164
45	-1486.3589811949162	170.07859171863507
46	-1427.3062371385024	236.66994349139654
47	-1447.0824004973454	204.52236728445214
48	-1509.616688249763	98.30060416218292
49	-1443.4513727404683	133.53014725474407
50	-1389.161455117086	125.87349152901513
51	-1446.5754845392466	108.58544884289732
52	-1454.8065272847036	90.69530286074097
53	-1421.7770236910542	108.60522897679705
54	-1430.5851011283803	129.50900935864655
55	-1415.563484472071	127.76858702924541
56	-1415.4741550927176	132.5020280892264
57	-1415.579426810512	128.19692515983024
58	-1368.7874215006682	148.66744684102028
59	-1438.331925568431	143.5687692218086
60	-1388.3593534113577	129.75198527422066
61	-1405.1090729711018	138.467847407703
62	-1436.342561603818	158.74477589556957
63	-1404.7236223721839	183.56462294486678
64	-1464.5942502648415	153.60230756633678
65	-1413.5456036356957	214.15623750188212
66	-1481.1671289133913	141.13844485573034
67	-1493.9545211790419	113.86575417086938
68	-1409.4629149271725	222.09108521564087
69	-1542.3480653188492	78.29707354822561
70	-1499.1391031976561	112.4657906734752
71	-1454.5655940541972	138.37516351465595
72	-1498.993331709938	106.85815878526952
73	-1470.8111133427403	122.00453660083619
74	-1421.373163757621	179.57190459202218
75	-1503.9277843614295	106.11871380899194
76	-1446.7135464468288	101.6910260306767
77	-1371.040359100775	195.24118674372164
78	-1308.5684737290985	234.92308518827525
79	-1350.5690783894079	173.698571458434
80	-1361.6672195405658	143.87794748502742
81	-1347.4246610449077	107.83443282087494
82	-1343.5278977846822	137.08438380599517
83	-1322.3947858325043	151.33053355055586
84	-1354.730448671333	111.9511071725779
85	-1346.6620403525803	137.38200633724335
86	-1395.9316540302077	136.74965320747174
87	-1375.09768611	176.64813696506792
88	-1442.4612264183438	146.12655269233025
89	-1456.689474879035	168.01090065112086
90	-1382.282178142428	199.77845098386305
91	-1376.9728708582882	206.0999026959635
92	-1426.2251203152005	197.32416147813655
93	-1336.8373680037344	243.9022132574593
94	-1350.451197613803	181.97770824046916
95	-1343.6549722978941	193.06438663641546
96	-1328.625913970984	192.94394701853133
97	-1373.9494627716454	161.63425351792637
98	-1393.0115982033706	164.36232922360122
99	-1361.5734570563163	196.66721636843982
100	-1409.0901123546118	133.9258070067228
101	-1345.1817256527593	170.93796410017814
102	-1380.0883096863522	171.64557230765286
103	-1417.2336418759262	147.51929277023913
104	-1299.5876430034432	228.54255335459706
105	-1366.283206411579	175.7421284518378
106	-1428.21910946158	147.16959008861446
107	-1387.9532505554778	176.14834043141389
108	-1274.4605519261852	229.5018198588439
109	-1427.663362143976	176.31714783344987
110	-1359.1729251950437	222.56410022517346
111	-1383.3975631034182	216.54384703799062
112	-1390.9065494199247	146.72526963066747
113	-1327.443913394425	127.46907129905122
114	-1264.7627727266415	136.60082177567975
115	-1264.8005793476798	160.85288550940513
116	-1312.4989908576501	140.06130822010192
117	-1286.904124156094	162.8225056149575
118	-1323.8458194277687	181.48727676730823
119	-1302.8669837756818	176.77122838991326
120	-1281.1795923421967	116.55529388483708
121	-1357.9863323223483	107.55318039406282
122	-1336.4926798852161	138.27633082235474
123	-1362.48131410459	118.58069807038903
124	-1338.606360156078	144.10244346545656
125	-1365.9401208947443	150.95967470549914
126	-1361.8168856889183	158.87033288009408
