steps	avg_reward	std_reward
0	18,392857142857142	5,472915687496838
1	21,869565217391305	9,354396073393549
2	22,47826086956522	6,64549252414513
3	27,36842105263158	15,941374590125994
4	20,12	7,0217946423973405
5	23,952380952380953	13,379003416783474
6	28,11111111111111	15,39079410588929
7	35,4	14,970192606198045
8	28,333333333333332	12,265579661982732
9	35,53333333333333	16,239321277552076
10	32,5625	16,66946591076031
11	33,375	19,37741920380524
12	40,46153846153846	27,73394305960002
13	59,55555555555556	36,53342795337842
14	59,22222222222222	32,06859931035958
15	62,5	35,156791662493895
16	58,44444444444444	15,868285009281957
17	87,66666666666667	29,032548783888902
18	88,83333333333333	36,73969999272661
19	94,33333333333333	43,10323524851573
20	89,66666666666667	34,1158158174312
21	88,66666666666667	39,2286743197994
22	112,0	30,646370095004727
23	133,0	114,85425547188053
24	108,0	42,680206185068975
25	88,83333333333333	49,56617350124534
26	97,5	28,929512036442418
27	124,0	31,830802691732423
28	145,4	70,26407332342752
29	115,0	51,120772033815506
30	148,5	20,402205763103165
31	203,33333333333334	23,809428571238094
32	145,5	66,34945365261119
33	500,0	0,0
34	256,5	1,5
35	195,0	5,656854249492381
36	197,66666666666666	13,199326582148888
37	180,66666666666666	2,494438257849294
38	157,0	82,71033792700887
39	176,0	48,873987628048795
40	194,33333333333334	49,22284925610147
41	350,5	27,5
42	379,0	121,0
43	277,6666666666667	87,33587782552802
44	500,0	0,0
45	221,66666666666666	115,86294585510169
46	294,5	6,5
47	231,66666666666666	70,92405954415062
48	363,0	31,0
49	500,0	0,0
50	500,0	0,0
51	231,0	39,25132694147634
52	324,0	1,0
53	272,6666666666667	77,59868269214083
54	304,0	68,0
55	281,5	18,5
56	370,5	129,5
57	295,0	25,0
58	426,5	9,5
59	500,0	0,0
60	431,5	41,5
61	251,5	21,5
62	296,5	48,5
63	311,0	53,0
64	273,0	17,0
65	260,5	0,5
66	266,0	46,0
67	277,0	9,0
68	220,0	17,204650534085253
69	297,0	1,0
70	267,5	24,5
71	325,5	35,5
72	376,0	32,0
73	439,5	9,5
74	500,0	0,0
75	500,0	0,0
76	500,0	0,0
77	500,0	0,0
78	500,0	0,0
79	500,0	0,0
80	500,0	0,0
81	500,0	0,0
82	500,0	0,0
83	295,3333333333333	97,40750598502264
84	500,0	0,0
85	500,0	0,0
86	500,0	0,0
87	439,0	61,0
88	500,0	0,0
89	500,0	0,0
90	500,0	0,0
91	500,0	0,0
92	500,0	0,0
93	422,0	78,0
94	500,0	0,0
95	500,0	0,0
96	408,0	92,0
97	442,5	19,5
98	372,0	102,0
99	353,5	7,5
